setting,benchmark_name,dataset,benchmark_time
main,insert,rand-8,4791.9
main,insert,rand-16,4847.8
main,mem-usage,rand-8,0
main,mem-usage,rand-16,0
main,mt-insert,rand-8,1211.3
main,mt-insert,rand-16,1220
main,ycsb-a,rand-8,3146.8
main,ycsb-a,rand-16,3204
main,ycsb-b,rand-8,2911.7
main,ycsb-b,rand-16,2953.2
main,ycsb-c,rand-8,2876.1
main,ycsb-c,rand-16,2959
main,ycsb-d,rand-8,2982.2
main,ycsb-d,rand-16,3036.8
main,ycsb-e,rand-8,9376.8
main,ycsb-e,rand-16,9393.7
main,ycsb-f,rand-8,3852.7
main,ycsb-f,rand-16,3987.5
feature/vectorization,insert,rand-8,4926.3
feature/vectorization,insert,rand-16,4974.5
feature/vectorization,mem-usage,rand-8,0
feature/vectorization,mem-usage,rand-16,0
feature/vectorization,mt-insert,rand-8,1276.6
feature/vectorization,mt-insert,rand-16,1284.8
feature/vectorization,ycsb-a,rand-8,2960
feature/vectorization,ycsb-a,rand-16,3044
feature/vectorization,ycsb-b,rand-8,2785.5
feature/vectorization,ycsb-b,rand-16,2838.7
feature/vectorization,ycsb-c,rand-8,2764
feature/vectorization,ycsb-c,rand-16,2800.8
feature/vectorization,ycsb-d,rand-8,2736.8
feature/vectorization,ycsb-d,rand-16,2818.6
feature/vectorization,ycsb-e,rand-8,9437.8
feature/vectorization,ycsb-e,rand-16,9456.4
feature/vectorization,ycsb-f,rand-8,3671
feature/vectorization,ycsb-f,rand-16,3734.7
feature/vectorization_without_split,insert,rand-8,4820.9
feature/vectorization_without_split,insert,rand-16,4854.2
feature/vectorization_without_split,mem-usage,rand-8,0
feature/vectorization_without_split,mem-usage,rand-16,0
feature/vectorization_without_split,mt-insert,rand-8,1254.7
feature/vectorization_without_split,mt-insert,rand-16,1262.6
feature/vectorization_without_split,ycsb-a,rand-8,2873.7
feature/vectorization_without_split,ycsb-a,rand-16,2957.5
feature/vectorization_without_split,ycsb-b,rand-8,2658.8
feature/vectorization_without_split,ycsb-b,rand-16,2721.7
feature/vectorization_without_split,ycsb-c,rand-8,2642.5
feature/vectorization_without_split,ycsb-c,rand-16,2696.6
feature/vectorization_without_split,ycsb-d,rand-8,2620.6
feature/vectorization_without_split,ycsb-d,rand-16,2694
feature/vectorization_without_split,ycsb-e,rand-8,9094.2
feature/vectorization_without_split,ycsb-e,rand-16,9113.3
feature/vectorization_without_split,ycsb-f,rand-8,3409.2
feature/vectorization_without_split,ycsb-f,rand-16,3530.1
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,insert,rand-8,4423.7
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,insert,rand-16,4445.3
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,mem-usage,rand-8,0
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,mem-usage,rand-16,0
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,mt-insert,rand-8,1144.1
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,mt-insert,rand-16,1149.8
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-a,rand-8,2607.2
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-a,rand-16,2698.6
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-b,rand-8,2407.2
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-b,rand-16,2465.3
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-c,rand-8,2382.9
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-c,rand-16,2435
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-d,rand-8,2404.4
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-d,rand-16,2478.6
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-e,rand-8,7653.5
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-e,rand-16,7664
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-f,rand-8,2984
c951393f7a9b7abb7ce005f6fee3d0ee5f7c21ef,ycsb-f,rand-16,3089.5
